"帳票名","仕訳日記帳"
"書式名","汎用形式"
"事業所名","㈱コムテックエンタープライズ"
"処理日時","2026/09/09","14:05:26"
"検索条件",""
"集計期間","2025/07/01","2026/06/30","決算仕訳を含む"
"当日仕訳","NO"
"[表題行]","日付","伝票No.","決算","調整","付箋1","付箋2","タイプ","生成元","借方勘定科目","借方補助科目","借方部門","借方税区分","借方税計算区分","借方金額","借方税額","貸方勘定科目","貸方補助科目","貸方部門","貸方税区分","貸方税計算区分","貸方金額","貸方税額","摘要","請求書区分","仕入税額控除","期日","番号","仕訳メモ","作業日付","仕訳番号"
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",239,,"楽天カード","","","対象外","",239,,"楽天ＳＰ　ファミリーマートアプリ","","","",,"","2026/03/19",25265
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",203,,"楽天カード","","","対象外","",203,,"ﾄﾂﾌﾟﾜﾝﾏﾂﾊﾞｺｳｴﾝﾃﾝ","","","",,"","2026/03/19",25266
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ　ファミリーマートアプリ","","","",,"","2026/03/19",25267
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",660,,"楽天カード","","","対象外","",660,,"楽天ＳＰ　吉野家　アプリ","","","",,"","2026/03/19",25268
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ　ファミリーマートアプリ","","","",,"","2026/03/19",25269
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",1900,,"楽天カード","","","対象外","",1900,,"ｱｲﾎﾟｽﾊﾟ-ｷﾝｸﾞ","","","",,"","2026/03/19",25270
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",1966,,"楽天カード","","","対象外","",1966,,"ヤクルト届けてネット（名古屋）","","","",,"","2026/03/19",25271
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",850,,"楽天カード","","","対象外","",850,,"楽天ＳＰ　サガミレストランツアプリ","","","",,"","2026/08/23",28092
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",603,,"楽天カード","","","対象外","",603,,"楽天ＳＰ　ファミリーマートアプリ","","","",,"","2026/08/23",28094
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",125,,"楽天カード","","","対象外","",125,,"楽天ＳＰ　ファミリーマートアプリ","","","",,"","2026/08/23",28095
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",909,,"楽天カード","","","対象外","",909,,"楽天ＳＰ　ファミリーマートアプリ","","","",,"","2026/03/19",25275
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",15725,,"楽天カード","","","対象外","",15725,,"ｿﾌﾄﾊﾞﾝｸM(05ｶﾞﾂ)","","","",,"","2026/03/19",25276
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",890,,"楽天カード","","","対象外","",890,,"ﾈｯﾄﾌﾘｯｸｽ","","","",,"","2026/03/19",25277
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",1741,,"楽天カード","","","対象外","",1741,,"ﾄﾂﾌﾟﾜﾝﾏﾂﾊﾞｺｳｴﾝﾃﾝ","","","",,"","2026/03/19",25278
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",1937,,"楽天カード","","","対象外","",1937,,"ﾄﾂﾌﾟﾜﾝﾏﾂﾊﾞｺｳｴﾝﾃﾝ","","","",,"","2026/03/19",25279
