"帳票名","仕訳日記帳"
"書式名","汎用形式"
"事業所名","㈱コムテックエンタープライズ"
"処理日時","2026/09/09","14:05:26"
"検索条件",""
"集計期間","2025/07/01","2026/06/30","決算仕訳を含む"
"当日仕訳","NO"
"[表題行]","日付","伝票No.","決算","調整","付箋1","付箋2","タイプ","生成元","借方勘定科目","借方補助科目","借方部門","借方税区分","借方税計算区分","借方金額","借方税額","貸方勘定科目","貸方補助科目","貸方部門","貸方税区分","貸方税計算区分","貸方金額","貸方税額","摘要","請求書区分","仕入税額控除","期日","番号","仕訳メモ","作業日付","仕訳番号"
"[明細行]","2026/03/25",,"","NO","","","","","複合","","","対象外","",24720,,"預り金","源泉所得税","","対象外","",24720,,"給与　3月分　源泉税","","","",,"","2026/08/12",26710
"[明細行]","2026/03/25",,"","NO","","","","","複合","","","対象外","",15500,,"預り金②","名古屋市","","対象外","",15500,,"給与　3月分　住民税　名古屋市","","","",,"","2026/08/12",26711
"[明細行]","2026/03/25",,"","NO","","","","","複合","","","対象外","",10500,,"預り金②","一宮市","","対象外","",10500,,"給与　3月分　住民税　一宮市","","","",,"","2026/08/12",26712
"[明細行]","2026/03/25",,"","NO","","","","","複合","","","対象外","",9700,,"預り金②","刈谷市","","対象外","",9700,,"給与　3月分　住民税　刈谷氏","","","",,"","2026/08/12",26713
"[日次合計行]","","","","","","","","","","","","","",2874000,0,"","","","","",2874000,0,"","","","","","","",""
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","保険料","","","対象外","",4025,,"普通　三菱UFJ銀行","","","対象外","",4025,,"アフラツクＡＰＳ","","","",,"","2026/08/12",25714
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","事務用品費","","","課対仕入10%","",7406,,"普通　三菱UFJ銀行","","","対象外","",7406,,"ＳＭＢＣ（アスクル","","","",,"","2026/08/12",25715
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","保険料","","","対象外","",9170,,"普通　三菱UFJ銀行","","","対象外","",9170,,"ＤＦ．オリツクスセイメイ","","","",,"","2026/08/12",25716
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","楽天カード","","","対象外","",161243,,"普通　三菱UFJ銀行","","","対象外","",161243,,"ラクテンカ－ドサ－ビ","","","",,"","2026/08/12",25717
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","法定福利費","","","対象外","",333301,,"普通　三菱UFJ銀行","","","対象外","",333301,,"シヤカイホケンリヨウトウ（コツ　2月分","","","",,"","2026/08/15",27144
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",2970,,"楽天カード","","","対象外","",2970,,"さくらインターネット","","","",,"","2026/08/12",26259
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",7700,,"楽天カード","","","対象外","",7700,,"さくらインターネット","","","",,"","2026/08/12",26260
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",1966,,"楽天カード","","","対象外","",1966,,"ヤクルト届けてネット（名古屋）","","","",,"","2026/08/12",26261
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",449,,"楽天カード","","","対象外","",449,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26262
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",10000,,"楽天カード","","","対象外","",10000,,"Ｓｕｉｃａ（携帯決済）","","","",,"","2026/08/12",26263
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",559,,"楽天カード","","","対象外","",559,,"楽天ＳＰ  ユニモールアプリ","","","",,"","2026/08/12",26264
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","事務用品費","","","課対仕入10%","",290,,"楽天カード","","","対象外","",290,,"イオンリテール　文具等","","","",,"","2026/08/15",27277
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","事務用品費","","","課対仕入10%","",740,,"楽天カード","","","対象外","",740,,"イオンリテール　文具等","","","",,"","2026/08/15",27278
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","事務用品費","","","課対仕入10%","",290,,"楽天カード","","","対象外","",290,,"イオンリテール　文具等","","","",,"","2026/08/15",27279
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","事務用品費","","","課対仕入10%","",3920,,"楽天カード","","","対象外","",3920,,"イオンリテール　文具等","","","",,"","2026/08/15",27280
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",449,,"楽天カード","","","対象外","",449,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26269
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",3750,,"楽天カード","","","対象外","",3750,,"ﾄﾂﾌﾟﾜﾝﾏﾂﾊﾞｺｳｴﾝﾃﾝ","","","",,"","2026/08/12",26270
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",2900,,"楽天カード","","","対象外","",2900,,"GOOGLE GOOGLE ONE","","","",,"","2026/08/12",26271
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",1569,,"楽天カード","","","対象外","",1569,,"楽天ＳＰ  スギ薬局  アプリ","","","",,"","2026/08/12",26272
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","交際費","","","課対仕入10%","",2799,,"楽天カード","","","対象外","",2799,,"楽天ＳＰ  ほっともっと","","","",,"","2026/08/23",28126
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",617,,"楽天カード","","","対象外","",617,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26274
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",1966,,"楽天カード","","","対象外","",1966,,"ヤクルト届けてネット（名古屋）","","","",,"","2026/08/12",26275
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",253,,"楽天カード","","","対象外","",253,,"楽天ＳＰ  デイリーヤマザキアプリ","","","",,"","2026/08/12",26276
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",1652,,"楽天カード","","","対象外","",1652,,"楽天ＳＰ  ローソンアプリ","","","",,"","2026/08/12",26277
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",5279,,"楽天カード","","","対象外","",5279,,"ワークマン","","","",,"","2026/08/12",26278
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",449,,"楽天カード","","","対象外","",449,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26279
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","水道光熱費","","","課対仕入10%","",15167,,"楽天カード","","","対象外","",15167,,"ｿﾌﾄﾊﾞﾝｸﾃﾞﾝｷ","","","",,"","2026/08/12",26280
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",20763,,"楽天カード","","","対象外","",20763,,"ｿﾌﾄﾊﾞﾝｸM(01ｶﾞﾂ)","","","",,"","2026/08/12",26281
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",449,,"楽天カード","","","対象外","",449,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26282
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",990,,"楽天カード","","","対象外","",990,,"AMAZON.CO.JP","","","",,"","2026/08/12",26283
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",890,,"楽天カード","","","対象外","",890,,"ﾈｯﾄﾌﾘｯｸｽ","","","",,"","2026/08/12",26284
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",9900,,"楽天カード","","","対象外","",9900,,"ｶﾌﾞｼｷｶﾞｲｼﾔｱｷﾂﾞｷﾃﾞ","","","",,"","2026/08/12",26285
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",1099,,"楽天カード","","","対象外","",1099,,"楽天ＳＰ  ＭＡＹパーク丸の内","","","",,"","2026/08/12",26286
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",1966,,"楽天カード","","","対象外","",1966,,"ヤクルト届けてネット（名古屋）","","","",,"","2026/08/12",26287
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",2142,,"楽天カード","","","対象外","",2142,,"ﾄﾂﾌﾟﾜﾝﾏﾂﾊﾞｺｳｴﾝﾃﾝ","","","",,"","2026/08/12",26288
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",449,,"楽天カード","","","対象外","",449,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26289
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",3100,,"楽天カード","","","対象外","",3100,,"ﾀｲﾑｽﾞﾆｼｷ2ﾁﾖｳﾒ8","","","",,"","2026/08/12",26290
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",379,,"楽天カード","","","対象外","",379,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26291
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",667,,"楽天カード","","","対象外","",667,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26292
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",449,,"楽天カード","","","対象外","",449,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26293
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",2900,,"楽天カード","","","対象外","",2900,,"GOOGLE GOOGLE ONE","","","",,"","2026/08/12",26294
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",290,,"楽天カード","","","対象外","",290,,"GOOGLE GOOGLE ONE","","","",,"","2026/08/12",26295
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",449,,"楽天カード","","","対象外","",449,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26296
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",2332,,"楽天カード","","","対象外","",2332,,"ﾏﾂｸｽﾊﾞﾘﾕｼﾉﾊﾗﾊﾞｼﾋｶ","","","",,"","2026/08/12",26297
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",290,,"楽天カード","","","対象外","",290,,"GOOGLE GOOGLE ONE","","","",,"","2026/08/12",26298
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",1680,,"楽天カード","","","対象外","",1680,,"APPLE COM BILL","","","",,"","2026/08/12",26299
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",4570,,"楽天カード","","","対象外","",4570,,"ｺ-ﾋ-ｷﾔﾛﾂﾄ","","","",,"","2026/08/12",26300
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",727,,"楽天カード","","","対象外","",727,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26301
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",466,,"楽天カード","","","対象外","",466,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26302
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",179,,"楽天カード","","","対象外","",179,,"楽天ＳＰ  日本郵便郵便局アプリ","","","",,"","2026/08/12",26303
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",1966,,"楽天カード","","","対象外","",1966,,"ヤクルト届けてネット（名古屋）","","","",,"","2026/08/12",26304
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",407,,"楽天カード","","","対象外","",407,,"AMAZON.CO.JP","","","",,"","2026/08/12",26305
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",693,,"楽天カード","","","対象外","",693,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26306
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",449,,"楽天カード","","","対象外","",449,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26307
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",8945,,"楽天カード","","","対象外","",8945,,"ｸﾗｽﾒｿﾂﾄﾞ(ｶ","","","",,"","2026/08/12",26308
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",449,,"楽天カード","","","対象外","",449,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26309
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",2090,,"楽天カード","","","対象外","",2090,,"GOOGLE*WORKSPACE","","","",,"","2026/08/23",28127
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",449,,"楽天カード","","","対象外","",449,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26311
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",2189,,"楽天カード","","","対象外","",2189,,"ユーネクストサービス利用料","","","",,"","2026/08/12",26312
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",2605,,"楽天カード","","","対象外","",2605,,"ａｕ  ご利用代金  １月ご利用分","","","",,"","2026/08/12",26313
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",8889,,"楽天カード","","","対象外","",8889,,"ＵＱ  ｍｏｂｉｌｅご利用料金","","","",,"","2026/08/12",26314
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",449,,"楽天カード","","","対象外","",449,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26315
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",404,,"楽天カード","","","対象外","",404,,"楽天ＳＰ  ローソンアプリ","","","",,"","2026/08/12",26316
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",759,,"楽天カード","","","対象外","",759,,"楽天ＳＰ  ガストアプリ","","","",,"","2026/08/12",26317
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",499,,"楽天カード","","","対象外","",499,,"楽天ＳＰ  Ｊ－ＲＯＡＤ","","","",,"","2026/08/12",26318
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",449,,"楽天カード","","","対象外","",449,,"楽天ＳＰ  ミニストップ","","","",,"","2026/08/12",26319
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",659,,"楽天カード","","","対象外","",659,,"楽天ＳＰ  サガミレストランツアプリ","","","",,"","2026/08/12",26320
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",1049,,"楽天カード","","","対象外","",1049,,"楽天ＳＰ  アイセイ薬局アプリ","","","",,"","2026/08/12",26321
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",594,,"楽天カード","","","対象外","",594,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26322
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",2299,,"楽天カード","","","対象外","",2299,,"楽天ＳＰ  駐車場名鉄協商パーキングアプリ","","","",,"","2026/08/12",26323
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",795,,"楽天カード","","","対象外","",795,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",26324
"[明細行]","2026/03/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",1296,,"楽天カード","","","対象外","",1296,,"ﾀﾞｲｵ-ｽﾞｼﾞﾔﾊﾟﾝ","","","",,"","2026/08/12",26325
"[日次合計行]","","","","","","","","","","","","","",676388,0,"","","","","",676388,0,"","","","","","","",""
"[明細行]","2026/03/31",,"","NO","","","","[CSV]","長期借入金","三菱/83,000/1000万","","対象外","",23000,,"普通　三菱UFJ銀行","","","対象外","",23000,,"ご返済","","","",,"","2026/08/14",27061
"[明細行]","2026/03/31",,"","NO","","","","[CSV]","支払利息","三菱/83,000/1000万","","対象外","",6074,,"普通　三菱UFJ銀行","","","対象外","",6074,,"ご融資利息","","","",,"","2026/08/14",27062
"[明細行]","2026/03/31",,"","NO","","","","[CSV]","長期借入金","三菱/119,000/1000万新","","対象外","",30000,,"普通　三菱UFJ銀行","","","対象外","",30000,,"ご返済","","","",,"","2026/08/14",27063
"[明細行]","2026/03/31",,"","NO","","","","[CSV]","支払利息","三菱/119,000/1000万新","","対象外","",7644,,"普通　三菱UFJ銀行","","","対象外","",7644,,"ご融資利息","","","",,"","2026/08/14",27064
"[明細行]","2026/03/31",,"","NO","","","","[CSV]","長期借入金","三菱/178,000/1500万","","対象外","",45000,,"普通　三菱UFJ銀行","","","対象外","",45000,,"ご返済","","","",,"","2026/08/14",27065
"[明細行]","2026/03/31",,"","NO","","","","[CSV]","支払利息","三菱/178,000/1500万","","対象外","",11467,,"普通　三菱UFJ銀行","","","対象外","",11467,,"ご融資利息","","","",,"","2026/08/12",25724
"[明細行]","2026/03/31",,"","NO","","","","[CSV]","長期借入金","三菱/125,000/1500万","","対象外","",52000,,"普通　三菱UFJ銀行","","","対象外","",52000,,"ご返済","","","",,"","2026/08/14",27066
"[明細行]","2026/03/31",,"","NO","","","","[CSV]","支払利息","三菱/125,000/1500万","","対象外","",14372,,"普通　三菱UFJ銀行","","","対象外","",14372,,"ご融資利息","","","",,"","2026/08/14",27067
"[明細行]","2026/03/31",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",17967,,"普通　三菱UFJ銀行","","","対象外","",17967,,"電話","","","",,"","2026/08/12",25727
"[明細行]","2026/03/31",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",10780,,"普通　三菱UFJ銀行","","","対象外","",10780,,"ドコモビジネス","","","",,"","2026/08/12",25728
"[明細行]","2026/03/31",,"","NO","","","","[CSV]","複合","","","対象外","",49539,,"普通　三菱UFJ銀行","","","対象外","",49539,,"金融公庫","","","",,"","2026/08/21",27816
"[明細行]","2026/03/31",,"","NO","","","","[CSV]","複合","","","対象外","",169596,,"普通　三菱UFJ銀行","","","対象外","",169596,,"ソウゴウフリコミ　　　ＢＩＺ","","","",,"","2026/08/12",25730
"[明細行]","2026/03/31",,"","NO","","","","[CSV]","普通　三菱UFJ銀行","","","対象外","",65615,,"売掛金","東海オートメーション㈱","","対象外","",65615,,"トウカイオ－トメ－シヨン（カ","","","",,"","2026/08/12",25731
"[明細行]","2026/03/31",,"","NO","","","","","賃借料","後藤","","課対仕入10%","",127600,,"複合","","","対象外","",127600,,"家賃　林ビル　後藤三枝子　4月分","","","",,"","2026/08/12",26721
"[明細行]","2026/03/31",,"","NO","","","","","水道光熱費","水道代","","課対仕入10%","",4065,,"複合","","","対象外","",4065,,"水道代　林ビル　後藤三枝子　2・3月分","","","",,"","2026/08/21",28050
"[明細行]","2026/03/31",,"","NO","","","","","雑費","千葉","","課対仕入10%","",32931,,"複合","","","対象外","",32931,,"千葉会計　顧問料　","","","",,"","2026/08/12",26718
"[明細行]","2026/03/31",,"","NO","","","","","賃借料","兵頭","","課対仕入10%","",5000,,"複合","","","対象外","",5000,,"駐車料　兵頭","","","",,"","2026/08/12",26719
"[明細行]","2026/03/31",,"","NO","","","","","雑費","千葉","","課対仕入10%","",3369,,"預り金","源泉所得税","","対象外","",3369,,"千葉会計　源泉所得税　","","","",,"","2026/08/12",26859
"[明細行]","2026/03/31",,"","NO","","","","","長期借入金","三井/42,000/500万","","対象外","",10000,,"普通　三井住友銀行","","","対象外","",10000,,"証書借入返済","","","",,"","2026/08/14",27005
"[明細行]","2026/03/31",,"","NO","","","","","売掛金","㈱中部テラオカ","","対象外","",137500,,"売上高（5種）","㈱中部テラオカ","","簡売五10%","",137500,,"㈱中部テラオカ　","","","",,"","2026/08/14",26961
"[明細行]","2026/03/31",,"","NO","","","","","売掛金","㈱中部テラオカ","","対象外","",6050000,,"売上高（5種）","㈱中部テラオカ","","簡売五10%","",6050000,,"㈱中部テラオカ　","","","",,"","2026/08/14",26962
"[明細行]","2026/03/31",,"","NO","","","","","売掛金","日本カラリング㈱","","対象外","",3190000,,"売上高（5種）","日本カラリング㈱","","簡売五10%","",3190000,,"日本カラリング㈱　","","","",,"","2026/08/14",26976
"[明細行]","2026/03/31",,"","NO","","","","","売上高（5種）","日本カラリング㈱","","簡売五10%","",33053,,"売掛金","日本カラリング㈱","","対象外","",33053,,"日本カラリング㈱　値引　","","","",,"","2026/08/14",26977
"[明細行]","2026/03/31",,"","NO","","","","","支払利息","三井/42,000/500万","","対象外","",4244,,"普通　三井住友銀行","","","対象外","",4244,,"証書借入利息","","","",,"","2026/08/14",27004
"[明細行]","2026/03/31",,"","NO","","","","","支払手数料","","","課対仕入10%","",385,,"売掛金","東海オートメーション㈱","","対象外","",385,,"振込手数料　相殺","","","",,"","2026/08/14",27124
"[明細行]","2026/03/31",,"","NO","","","","","売掛金","東海オートメーション㈱","","対象外","",66000,,"売上高（5種）","東海オートメーション㈱","","簡売五10%","",66000,,"東海オートメーション㈱　","","","",,"","2026/08/14",27107
"[明細行]","2026/03/31",,"","NO","","","","","長期借入金","日本/93,000/1000万","","対象外","",40000,,"複合","","","対象外","",40000,,"日本政策金融公庫","","","",,"","2026/08/20",27814
"[明細行]","2026/03/31",,"","NO","","","","","支払利息","日本/93,000/1000万","","対象外","",9539,,"複合","","","対象外","",9539,,"日本政策金融公庫","","","",,"","2026/08/21",27815
"[明細行]","2026/03/31",,"","NO","","","","","消費税","","","対象外","",427700,,"未払消費税","","","対象外","",427700,,"消費税当期分","","","",,"","2026/08/21",28007
"[日次合計行]","","","","","","","","","","","","","",10644440,0,"","","","","",10644440,0,"","","","","","","",""
"[月度合計行]","","","","","","","","","","","","","",16371559,0,"","","","","",16371559,0,"","","","","","","",""
"[明細行]","2026/04/02",,"","NO","","","","[CSV]","リース料","車両","","課対仕入10%","",28600,,"普通　三菱UFJ銀行","","","対象外","",28600,,"ＴＦ）トヨタフアイナンス","","","",,"","2026/08/12",25732
"[日次合計行]","","","","","","","","","","","","","",28600,0,"","","","","",28600,0,"","","","","","","",""
"[明細行]","2026/04/06",,"","NO","","","","","旅費交通費","","","課対仕入10%","",4860,,"小口現金","","","対象外","",4860,,"JR東海代　","","","",,"","2026/08/21",27964
"[明細行]","2026/04/06",,"","NO","","","","","旅費交通費","","","課対仕入10%","",220,,"小口現金","","","対象外","",220,,"駐車料　","","","",,"","2026/08/21",27970
"[日次合計行]","","","","","","","","","","","","","",5080,0,"","","","","",5080,0,"","","","","","","",""
"[明細行]","2026/04/07",,"","NO","","","","","売掛金","ジェイエイ・トービス㈱","","対象外","",396000,,"売上高（5種）","ジェイエイ・トービス㈱","","簡売五10%","",396000,,"ジェイエイトービス㈱　保守料　R8.04～R9.03","","","",,"","2026/08/14",26948
"[日次合計行]","","","","","","","","","","","","","",396000,0,"","","","","",396000,0,"","","","","","","",""
"[明細行]","2026/04/08",,"","NO","","","","[CSV]","普通　三菱UFJ銀行","","","対象外","",500000,,"貸付金","","","対象外","",500000,,"ナガオ　トモハル","","","",,"","2026/08/12",26834
"[明細行]","2026/04/08",,"","NO","","","","","旅費交通費","","","課対仕入10%","",7315,,"現金","","","対象外","",7315,,"交通費（横山　26/4/8-26/4/22）","","","",,"","2026/08/13",26921
"[日次合計行]","","","","","","","","","","","","","",507315,0,"","","","","",507315,0,"","","","","","","",""
"[明細行]","2026/04/10",,"","NO","","","","[CSV]","ニコスカード","","","対象外","",50103,,"普通　三菱UFJ銀行","","","対象外","",50103,,"ミツビシＵＦＪニコス","","","",,"","2026/08/12",25868
"[明細行]","2026/04/10",,"","NO","","","","[CSV]","[製]材料仕入高","","","課対仕入10%","",897600,,"普通　三菱UFJ銀行","","","対象外","",897600,,"ソウゴウフリコミ　　　ＢＩＺ　KeyenceHT3台　システム費に含む","","","",,"","2026/08/20",27612
"[明細行]","2026/04/10",,"","NO","","","","[CSV]","預り金②","刈谷市","","対象外","",9700,,"普通　三菱UFJ銀行","","","対象外","",9700,,"住民税　納税　刈谷市　R8.03","","","",,"","2026/08/15",27244
"[明細行]","2026/04/10",,"","NO","","","","[CSV]","預り金②","一宮市","","対象外","",10500,,"普通　三菱UFJ銀行","","","対象外","",10500,,"住民税　納税　一宮市　R8.03","","","",,"","2026/08/15",27245
"[明細行]","2026/04/10",,"","NO","","","","[CSV]","預り金②","名古屋市","","対象外","",15500,,"普通　三菱UFJ銀行","","","対象外","",15500,,"住民税　納税　名古屋市　R8.03","","","",,"","2026/08/15",27246
"[明細行]","2026/04/10",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",1980,,"ニコスカード","","","対象外","",1980,,"アドビカブシキガイシャ","","","",,"","2026/08/12",25881
"[明細行]","2026/04/10",,"","NO","","","","[CSV]","水道光熱費","","","課対仕入10%","",23740,,"ニコスカード","","","対象外","",23740,,"中部電力","","","",,"","2026/08/12",25882
"[明細行]","2026/04/10",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",19980,,"ニコスカード","","","対象外","",19980,,"ノートンストア．ｊｐ","","","",,"","2026/08/12",25883
"[明細行]","2026/04/10",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",4403,,"ニコスカード","","","対象外","",4403,,"ソフトバンクＭ（０２ガツ）","","","",,"","2026/08/12",25884
"[明細行]","2026/04/10",,"","NO","","","","","旅費交通費","","","課対仕入10%","",7670,,"現金","","","対象外","",7670,,"交通費（藤井　25/3/25-25/3/31）","","","",,"","2026/08/13",26917
"[明細行]","2026/04/10",,"","NO","","","","","旅費交通費","","","課対仕入10%","",20640,,"現金","","","対象外","",20640,,"交通費（藤井　25/4/2-25/4/25）","","","",,"","2026/08/13",26918
"[明細行]","2026/04/10",,"","NO","","","","","旅費交通費","","","課対仕入10%","",7050,,"現金","","","対象外","",7050,,"交通費（藤井　25/5/2-25/5/9）","","","",,"","2026/08/13",26919
"[明細行]","2026/04/10",,"","NO","","","","","旅費交通費","","","課対仕入10%","",2200,,"小口現金","","","対象外","",2200,,"オレンジパーク","","","",,"","2026/08/21",27973
"[日次合計行]","","","","","","","","","","","","","",1071066,0,"","","","","",1071066,0,"","","","","","","",""
"[明細行]","2026/04/13",,"","NO","","","","","旅費交通費","","","課対仕入10%","",4860,,"小口現金","","","対象外","",4860,,"JR東海代　","","","",,"","2026/08/21",27965
"[日次合計行]","","","","","","","","","","","","","",4860,0,"","","","","",4860,0,"","","","","","","",""
"[明細行]","2026/04/17",,"","NO","","","","","租税公課","","","対象外","",600,,"小口現金","","","対象外","",600,,"収入印紙","","","",,"","2026/08/21",28066
"[明細行]","2026/04/17",,"","NO","","","","","租税公課","","","対象外","",1050,,"小口現金","","","対象外","",1050,,"収入印紙","","","",,"","2026/08/21",28067
